Cluster index	Biosource	GNPS annotation	SMILES of the GNPS annotated ion	Skeleton type
2425	Mitragyna rotundifolia	Carapanaubine	COC(C([C@]1(C2)[H])=CO[C@H]([C@@]1(CN3CCC4(C(NC(C=C5OC)=C4C=C5OC)=O)[C@]23[H])[H])C)=O	Ajmalicine spirooxindole
2005	Rauvolfia littoralis	Carapanaubine	COC(C([C@]1(C2)[H])=CO[C@H]([C@@]1(CN3CCC4(C(NC(C=C5OC)=C4C=C5OC)=O)[C@]23[H])[H])C)=O	Ajmalicine spirooxindole
1654	Psychotria peducunlaris var. peduncularis			
3456	Stemmadenia pubescens			
3859	Uncaria scandens			
1877	Rauvolfia littoralis			
2956	Mitragyna rotundifolia			
2928	Mitragyna hirsuta			
2874	Uncaria scandens	Speciophylline	COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4([C@H]3C[C@H]12)C(O)=NC1=CC=CC=C41	Ajmalicine spirooxindole
3564	Tabernaemontana granatum			
1867	Uncaria scandens			
695	Rauvolfia micrantha			
3668	Mitragyna hirsuta			
2289	Tabernaemontana bovina	Ervatamine	CN(C1)C[C@@H](CC)[C@]([C@]1(C(OC)=O)C2)([H])CC(C3=C2C4=CC=CC=C4N3)=O	Ervatamia
2725	Rauvolfia littoralis			
3517	Mitragyna hirsuta			
1706	Tabernaemontana bovina			
2285	Rauvolfia tetraphylla			
1818	Tabernaemontana bovina	7α-voacangine hydroxyindolenine	CC[C@@H]1C[C@@H]2CN3CCC4(O)C5=C(C=CC(OC)=C5)N=C4C(C2)(C13)C(=O)OC	Iboga
2618	Timonius arboreus			
3285	Mitragyna hirsuta	Corynantheidine	[H][C@](N1CC2)(C[C@@](/C(C(OC)=O)=C\\OC)([H])[C@H](CC)C1)C3=C2C4=CC=CC=C4N3	Corynantheane
1737	Mitragyna rotundifolia			
3234	Stemmadenia pubescens			
3241	Uncaria scandens			
1011	Strychnos thorelii			
2264	Mitragyna rotundifolia	Methyl-(16Z)-9-hydroxy-16-(methoxymethylene)-2-oxocoryxan-17-oate	CCC1CN2CCC3(C2CC1\\C(=C\\OC)C(=O)OC)C(=O)NC4=C3C(=CC=C4)O	Corynantheane spirooxindole
2680	Mitragyna rotundifolia			
773	Rauvolfia tetraphylla			
1097	Stemmadenia pubescens			
1326	Rauvolfia littoralis			
1583	Rauvolfia littoralis			
2628	Mitragyna rotundifolia			
2030	Tabernaemontana granatum			
1798	Stemmadenia pubescens			
817	Rauvolfia micrantha			
2522	Rauvolfia littoralis			
1649	Tabernaemontana granatum			
3647	Iserta laevis			
3188	Rauvolfia littoralis			
3081	Stemmadenia pubescens			
1189	Rauvolfia micrantha			
3990	Rauvolfia littoralis			
2800	Uncaria scandens			
2555	Rauvolfia littoralis	Isoreserpiline	C[C@H]1[C@@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC	Ajmalicine
3865	Uncaria scandens			
763	Strychnos thorelii			
452	Rauvolfia littoralis			
1922	Uncaria scandens			
2886	Rauvolfia littoralis			
2363	Rauvolfia littoralis			
2695	Mitragyna rotundifolia			
3040	Tabernaemontana granatum			
1478	Strychnos ovata			
3005	Uncaria scandens	Speciophylline	COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4([C@H]3C[C@H]12)C(O)=NC1=CC=CC=C41	Ajmalicine spirooxindole
1291	Rauvolfia micrantha			
3683	Melodinus cochinchinensis			
3097	Iserta laevis			
1682	Mitragyna rotundifolia			
3892	Mitragyna rotundifolia			
954	Rauvolfia micrantha			
2229	Mitragyna rotundifolia			
3266	Mitragyna rotundifolia			
2915	Rauvolfia littoralis			
3880	Kopsia singapurensis			
1530	Rauvolfia littoralis			
1688	Uncaria scandens			
2810	Rauvolfia littoralis			
1118	Tabernaemontana granatum			
2510	Mitragyna rotundifolia			
2583	Uncaria scandens			
3507	Mitragyna hirsuta			
3258	Mitragyna rotundifolia			
2027	Rauvolfia littoralis			
1670	Psychotria peducunlaris var. peduncularis			
1513	Uncaria scandens			
651	Uncaria scandens			
2036	Uncaria scandens			
1882	Uncaria scandens	Formosanine	COC(=O)C1=CO[C@H](C)[C@H]2CN3CC[C@@]4([C@@H]3C[C@H]12)C(O)=NC1=CC=CC=C41	Ajmalicine spirooxindole
3931	Mitragyna rotundifolia			
