Skeleton	SMILES	SMARTS	Skeleton_qid
Corynantheane spirooxindole	O=C1NC2=CC=CC=C2C13C4CC(C(CC)CN4CC3)C(C)C	[#8]=[#6]1-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-12-[#6]1-[#6]-[#6](-[#6](-[#6]-[#6])-[#6]-[#7]-1-[#6]-[#6]-2)-[#6](-[#6])-[#6]	Q131287168
Eburna	CCC12CCCN3C1C(N(CC2)C4=C5C=CC=C4)=C5CC3	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]-[#7]3-[#6]-1-[#6]1:[#7](-[#6]-[#6]-2):[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:2):[#6]:1-[#6]-[#6]-3	Q131287169
Ervatamia	CCC1CNCC2C1CCC3=C(C4=C(N3)C=CC=C4)C2	[#6]-[#6]-[#6]1-[#6]-[#7]-[#6]-[#6]2-[#6]-1-[#6]-[#6]-[#6]1:[#6](:[#6]3:[#6](:[#7H]:1):[#6]:[#6]:[#6]:[#6]:3)-[#6]-2	Q131287170
Gelseminane	CC(C1CCC23C([N]C4=CC=CC=C34)=O)C5C2C1(CC)CN5	[#6]-[#6]1-[#6]2-[#6]-[#6]-[#6]3(-[#6](-[#7]-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-3)=[#8])-[#6]3-[#6]-1-[#7]-[#6]-[#6]-2-3-[#6]-[#6]	Q131287172
Gelsedane	CCC1NC2CC3(CCC1C2)C(NC4=CC=CC=C34)=O	[#6]-[#6]-[#6]1-[#7]-[#6]2-[#6]-[#6]3(-[#6]-[#6]-[#6]-1-[#6]-2)-[#6](-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-3)=[#8]	Q131287173
Gelseleginane	CC[C@@]1(C)[N][C@@H]2C[C@]3(CCC1[C@@H]2C)C4=CC=CC=C4NC3=O	[#6]-[#6]-[#6@@]1(-[#6])-[#7]-[#6@@H]2-[#6]-[#6@]3(-[#6]-[#6]-[#6]-1-[#6@@H]-2-[#6])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#7]-[#6]-3=[#8]	Q131287174
Isohumanteninane	O=C1NC(C=CC=C2)=C2C1(C3)CCC4C(C)C(C)NC3C4C	[#8]=[#6]1-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-12-[#6]-[#6]1-[#7]-[#6](-[#6](-[#6](-[#6]-[#6]-2)-[#6]-1-[#6])-[#6])-[#6]	Q131287176
Iboga	CCC1C2N3CC(CC2C4=C(CC3)C5=C(N4)C=CC=C5)C1	[#6]-[#6]-[#6]1-[#6]2-[#7]3-[#6]-[#6](-[#6]-[#6]-2-[#6]2:[#6](-[#6]-[#6]-3):[#6]3:[#6](:[#7H]:2):[#6]:[#6]:[#6]:[#6]:3)-[#6]-1	Q131287177
Tabertingginane	C1(NC2=C3CCN4CC5CC42CCC5)=C3C=CC=C1	[#6]12:[#7H]:[#6]3:[#6](-[#6]-[#6]-[#7]4-[#6]-[#6]5-[#6]-[#6]-3-4-[#6]-[#6]-[#6]-5):[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287179
Andranginane	C12=CC=CC=C1C(CCN3C4C5CCCC4CCC3)=C5N2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#6]1-[#6]-[#6]-[#7]3-[#6]4-[#6](-[#6]-[#6]-[#6]-[#6]-4-[#6]-[#6]-[#6]-3)-[#6]:1:[#7H]:2	Q131287180
Conolutinane	CCC1CC2CCC34N(C5=CC=CC=C5C3CCN4C1)C2	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]-[#6]34-[#7](-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#6]-3-[#6]-[#6]-[#7]-4-[#6]-1)-[#6]-2	Q131287181
Lirofolane	C12CCC(C3C2)N(CN4C3=CC5=C4C=CC=C5)C1	[#6]12-[#6]-[#6]-[#6]3-[#6](-[#6]-1)-[#6]1:[#7](-[#6]-[#7]-3-[#6]-2):[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2	Q131287182
Kopsane	C1(NC23CCC45CC2CC6C37C4N(CCC5)C6)=C7C=CC=C1	[#6]12-[#7]-[#6]34-[#6]-[#6]-[#6]56-[#6]-[#6]-3-[#6]-[#6]3-[#6]-4(-[#6]-5-[#7](-[#6]-[#6]-[#6]-6)-[#6]-3)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287184
Lapidilectine	C1(NC23C4CCN5CCCC5(CC3)CC2)=C4C=CC=C1	[#6]12-[#7]-[#6]34-[#6](-[#6]-[#6]-[#7]5-[#6]-[#6]-[#6]-[#6]-5(-[#6]-[#6]-3)-[#6]-[#6]-4)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287185
Leuconoxane	CCC12CCCN3CCC4C5=CC=CC=C5N(CCC2)C143	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]-[#7]3-[#6]-[#6]-[#6]4-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#7](-[#6]-[#6]-[#6]-1)-[#6]-2-3-4	Q131287187
Macroline	CC1C2NC(CC1C(C)CC)C3=C(C4=C(C=CC=C4)N3)C2	[#6]-[#6]1-[#6]2-[#7]-[#6](-[#6]-[#6]-1-[#6](-[#6])-[#6]-[#6])-[#6]1:[#6](:[#6]3:[#6](:[#6]:[#6]:[#6]:[#6]:3):[#7H]:1)-[#6]-2	Q131287188
Malindane	CC1C2=C(CC3N1CCC4=C3NC5=CC=CC=C45)C=CN=C2	[#6]-[#6]1-[#6]2:[#6](-[#6]-[#6]3-[#7]-1-[#6]-[#6]-[#6]1:[#6]-3:[#7H]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:1:3):[#6]:[#6]:[#7]:[#6]:2	Q131287189
Melodinus	C1(NCC2C34C5C(CCCN5CC4)C2)=C3C=CC=C1	[#6]12-[#7]-[#6]-[#6]3-[#6]4(-[#6]5-[#6](-[#6]-[#6]-[#6]-[#7]-5-[#6]-[#6]-4)-[#6]-3)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287190
Mersinlonginane	C1(NC2NCCC34C2CCCC4)=C3C=CC=C1	[#6]12-[#7]-[#6]3-[#7]-[#6]-[#6]-[#6]4(-[#6]-3-[#6]-[#6]-[#6]-[#6]-4)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287191
Melonine	CCC12CCC(NC3=C4C=CC=C3)(C5CC2)C4CCN5C1	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]34-[#7]-[#6]5:[#6](:[#6]:[#6]:[#6]:[#6]:5)-[#6]-3-[#6]-[#6]-[#7](-[#6]-4-[#6]-[#6]-1)-[#6]-2	Q131287193
Nacycline	CCC1C2NCCC1CC3=NC=CC4=C3N2C5=C4C=CC=C5	[#6]-[#6]-[#6]1-[#6]2-[#7]-[#6]-[#6]-[#6]-1-[#6]-[#6]1:[#7]:[#6]:[#6]:[#6]3:[#6]:1:[#7]-2:[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1	Q131287195
Pandoline	CCC(C1)CN2C3C1CCC(C43CC2)NC5=C4C=CC=C5	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]3-[#7](-[#6]-1)-[#6]-[#6]-[#6]-31-[#6](-[#6]-[#6]-2)-[#7]-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2	Q131287196
Arboridinane	C12=NC3=CC=CC=C3C14CCN(CC2C5)CC5C4	[#6]12=[#7]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-13-[#6]-[#6]-[#7]1-[#6]-[#6]-2-[#6]-[#6](-[#6]-1)-[#6]-3	Q131287197
Arborisidinane	C12C3CCN1CCC4(C5=CC=CC=C5N=C24)CC3	[#6]12-[#6]3-[#6]-[#6]-[#7]-1-[#6]-[#6]-[#6]1(-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-[#7]=[#6]-2-1)-[#6]-[#6]-3	Q131287198
Pleiocarpamane	N12CCC(C3C2C4)C5=C(C=CC=C5)N3CC4CC1	[#7]12-[#6]-[#6]-[#6]3-[#6]4-[#6]-1-[#6]-[#6](-[#6]-[#7]-4-[#6]1:[#6]-3:[#6]:[#6]:[#6]:[#6]:1)-[#6]-[#6]-2	Q131287199
Pyridocarbazole	CC1=C2C=CN=CC2=CC3=C1NC4=C3C=CC=C4	[#6]-[#6]1:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#6]:[#6]2:[#6]:1:[#7H]:[#6]1:[#6]:2:[#6]:[#6]:[#6]:[#6]:1	Q131287200
Quebrachamine	CCC12CN(CCC3=C(CC2)NC4=C3C=CC=C4)CCC1	[#6]-[#6]-[#6]12-[#6]-[#7](-[#6]-[#6]-[#6]3:[#6](-[#6]-[#6]-1):[#7H]:[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1)-[#6]-[#6]-[#6]-2	Q131287201
Rhazidane	C12=CC=CC=C1C3CC[N+]45CCCC(C5)CCC43N2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]1-[#6]-[#6]-[#7+]34-[#6]-[#6]-[#6]-[#6](-[#6]-3)-[#6]-[#6]-[#6]-1-4-[#7]-2	Q131287202
Rhazinilam	O=C(CCC1C2C3=CCN2CCC1)NC4=C3C=CC=C4	[#8]=[#6]1-[#6]-[#6]-[#6]2-[#6]3-[#6](=[#6]-[#6]-[#7]-3-[#6]-[#6]-[#6]-2)-[#6]2:[#6](-[#7]-1):[#6]:[#6]:[#6]:[#6]:2	Q131287204
Sarpagine	C1(NC2=C3CC4N5C2CC(CC5)C4)=C3C=CC=C1	[#6]12:[#7H]:[#6]3:[#6](-[#6]-[#6]4-[#7]5-[#6]-3-[#6]-[#6](-[#6]-[#6]-5)-[#6]-4):[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287205
Schizozygane	C12CCN3CCCC4(CCN5C6=CC=CC=C26)CCC15C34	[#6]12-[#6]-[#6]-[#7]3-[#6]-[#6]-[#6]-[#6]45-[#6]-[#6]-[#7](-[#6]6:[#6]:[#6]:[#6]:[#6]:[#6]:6-1)-[#6]-2(-[#6]-[#6]-4)-[#6]-3-5	Q131287207
Seco-schizozygane	CCC1(CCC2)CCC34C1N2CCC3C5=CC=CC=C5N4	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]-[#7]3-[#6]-1-[#6]1(-[#6]-[#6]-2)-[#6](-[#6]-[#6]-3)-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#7]-1	Q131287208
Strictosidine	CCC1C(C(COC1)C)CC2NCCC3=C2NC4=CC=CC=C34	[#6]-[#6]-[#6]1-[#6](-[#6](-[#6]-[#8]-[#6]-1)-[#6])-[#6]-[#6]1-[#7]-[#6]-[#6]-[#6]2:[#6]-1:[#7H]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:2:1	Q131287209
Pauridianthinane	C12=CN=CC=C1C(CC2)C3=NC=CC4=C3NC5=C4C=CC=C5	[#6]12:[#6]:[#7]:[#6]:[#6]:[#6]:1-[#6](-[#6]-[#6]-2)-[#6]1:[#7]:[#6]:[#6]:[#6]2:[#6]:1:[#7H]:[#6]1:[#6]:2:[#6]:[#6]:[#6]:[#6]:1	Q131287210
Geissolaevane	C12=CC=CC=C1C(C=CN=C3C4OCCC4)=C3N2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#6]1:[#6]:[#6]:[#7]:[#6](-[#6]3-[#8]-[#6]-[#6]-[#6]-3):[#6]:1:[#7H]:2	Q131287212
Strychnidine	CCC1CN2C3CC1C4C(C35CC2)N(CCC4)C6=C5C=CC=C6	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]3-[#6]-[#6]-1-[#6]1-[#6]4-[#6]-3(-[#6]-[#6]-2)-[#6]2:[#6](-[#7]-4-[#6]-[#6]-[#6]-1):[#6]:[#6]:[#6]:[#6]:2	Q131287213
Uleane	CC1C2CCN(C)C(C2CC)C3=C1NC4=C3C=CC=C4	[#6]-[#6]1-[#6]2-[#6]-[#6]-[#7](-[#6])-[#6](-[#6]-2-[#6]-[#6])-[#6]2:[#6]-1:[#7H]:[#6]1:[#6]:2:[#6]:[#6]:[#6]:[#6]:1	Q131287214
Vallesamane	CCC1CN2CC3=C(CC1CC2)NC4=C3C=CC=C4	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]3:[#6](-[#6]-[#6]-1-[#6]-[#6]-2):[#7H]:[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1	Q131287215
Nor-seco-vallesamane	CCC1CNCCC1CC2=CC3=CC=CC=C3N2	[#6]-[#6]-[#6]1-[#6]-[#7]-[#6]-[#6]-[#6]-1-[#6]-[#6]1:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1	Q131287217
Vallesiachotamane	CC1C(CC2C3=C(CCN2C1)C(C=CC=C4)=C4N3)C(CC)C	[#6]-[#6]1-[#6](-[#6]-[#6]2-[#6]3:[#6](-[#6]-[#6]-[#7]-2-[#6]-1):[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#7H]:3)-[#6](-[#6]-[#6])-[#6]	Q131287218
Vindolinine	C1(NC23CCC4(C5C36CCN5CCC4)C2)=C6C=CC=C1	[#6]12-[#7]-[#6]34-[#6]-[#6]-[#6]5(-[#6]6-[#6]-3(-[#6]-[#6]-[#7]-6-[#6]-[#6]-[#6]-5)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#6]-4	Q131287219
Vobasine	O=C1C2=C(CC3NCCC(C3)C1)C(C=CC=C4)=C4N2	[#8]=[#6]1-[#6]2:[#6](-[#6]-[#6]3-[#7]-[#6]-[#6]-[#6](-[#6]-3)-[#6]-1):[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#7H]:2	Q131287220
Ervitsinane	O=C1C2=C(C3CC(C1)C(CC)CN3)C4=CC=CC=C4N2	[#8]=[#6]1-[#6]2:[#6](-[#6]3-[#6]-[#6](-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#7]-3):[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#7H]:2	Q131287221
Yohimbinoid	C12=C(C=CC=C2)C3=C(C4N(CC3)CC5CCCCC5C4)N1	[#6]12:[#6](:[#6]:[#6]:[#6]:[#6]:1):[#6]1:[#6](-[#6]3-[#7](-[#6]-[#6]-1)-[#6]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-3):[#7H]:2	Q131287222
Criofolinane	C1(NC2=C3CCN(CC4C5CCCC4)C5C2)=C3C=CC=C1	[#6]12:[#7H]:[#6]3:[#6](-[#6]-[#6]-[#7]4-[#6]-[#6]5-[#6](-[#6]-[#6]-[#6]-[#6]-5)-[#6]-4-[#6]-3):[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287223
Scholarisiane	C12CNC3CC1CC4(CC2)C3NC5=CC=CC=C45	[#6]12-[#6]-[#7]-[#6]3-[#6]-[#6]-1-[#6]-[#6]1(-[#6]-[#6]-2)-[#6]-3-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-1	Q131287224
Goniomitinane	CCC1(CC2)CCCNC1N3C2=CC4=C3C=CC=C4	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]3:[#7](-[#6]-1-[#7]-[#6]-[#6]-[#6]-2):[#6]1:[#6](:[#6]:3):[#6]:[#6]:[#6]:[#6]:1	Q131287225
Spirooxindole-aspidosperma	CCC1CCCN2CCC3(C(NC4=C3C=CC=C4)=O)C12	[#6]-[#6]-[#6]1-[#6]-[#6]-[#6]-[#7]2-[#6]-[#6]-[#6]3(-[#6](-[#7]-[#6]4:[#6]-3:[#6]:[#6]:[#6]:[#6]:4)=[#8])-[#6]-1-2	Q131287226
Seco-aspidosperma	CCC1(C)CCC2NC3=CC=CC=C3C24C1N(CC4)CC	[#6]-[#6]-[#6]1(-[#6])-[#6]-[#6]-[#6]2-[#7]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-23-[#6]-1-[#7](-[#6]-[#6]-3)-[#6]-[#6]	Q131287228
Leucolusinane	CCC12CCCN(CCC3C(NC4=CC=CC=C34)=O)C1OCC2	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]-[#7](-[#6]-[#6]-[#6]3-[#6](-[#7]-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-3)=[#8])-[#6]-1-[#8]-[#6]-[#6]-2	Q131287229
Mersicarpinane	N12CCCC3C1C(C4=CC=CC=C24)NCCC3	[#7]12-[#6]-[#6]-[#6]-[#6]3-[#6]-1-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-2)-[#7]-[#6]-[#6]-[#6]-3	Q131287230
Angustinane	CCC1=CN=CC(C2)=C1CC(N2CC3)C4=C3C5=CC=CC=C5N4	[#6]-[#6]-[#6]1:[#6]:[#7]:[#6]:[#6]2-[#6]-[#7]3-[#6](-[#6]-[#6]:1:2)-[#6]1:[#6](-[#6]-[#6]-3):[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1	Q131287232
Fruticosinane	C1(NC23C45C(N(CCC6)CC5CC7C3)C76CC2)=C4C=CC=C1	[#6]12-[#7]-[#6]34-[#6]5(-[#6]6-[#7]7-[#6]-[#6]-[#6]-[#6]-6(-[#6](-[#6]-[#6]-5-[#6]-7)-[#6]-3)-[#6]-[#6]-4)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287234
Dasyrachinane	C1(NC23C45C(N(CCC6)CC5C(C7)C3)C76CC2)=C4C=CC=C1	[#6]12-[#7]-[#6]34-[#6]5(-[#6]6-[#7]7-[#6]-[#6]-[#6]-[#6]-6(-[#6]-[#6](-[#6]-5-[#6]-7)-[#6]-3)-[#6]-[#6]-4)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287236
Antirhinane	CCC(C)C1CCN(C2C1)CCC3=C2NC4=C3C=CC=C4	[#6]-[#6]-[#6](-[#6])-[#6]1-[#6]-[#6]-[#7]2-[#6](-[#6]-1)-[#6]1:[#6](-[#6]-[#6]-2):[#6]2:[#6](:[#7H]:1):[#6]:[#6]:[#6]:[#6]:2	Q131287237
Sempervirinane	C12=CN3C=CC4=C5C=CC=CC5=NC4=C3C=C1CCCC2	[#6]12:[#6]:[#7]3:[#6]:[#6]:[#6]4:[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5:[#7]:[#6]-4:[#6]:3:[#6]:[#6]:1-[#6]-[#6]-[#6]-[#6]-2	Q131287238
Vincorinane	CCC1CN2CCC34C5=CC=CC=C5NC23CCC1C4	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]34-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#7]-[#6]-2-3-[#6]-[#6]-[#6]-1-[#6]-4	Q131287239
Stemmadeninane	CCC1CN2CCC3=C(NC4=C3C=CC=C4)CC1CC2	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]3:[#6](:[#7H]:[#6]4:[#6]:3:[#6]:[#6]:[#6]:[#6]:4)-[#6]-[#6]-1-[#6]-[#6]-2	Q131287240
Seco-strychnidine	CCC1CNCCC23C4C(COCCN4C5=CC=CC=C35)C1CC2	[#6]-[#6]-[#6]1-[#6]-[#7]-[#6]-[#6]-[#6]23-[#6]4-[#6](-[#6]-[#8]-[#6]-[#6]-[#7]-4-[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4-2)-[#6]-1-[#6]-[#6]-3	Q131287241
Isocorymane	O=C(O1)C2CCC1C34C(C5=CC=CC=C5N4)2CCN3	[#8]=[#6]1-[#8]-[#6]2-[#6]-[#6]-[#6]-1-[#6]13-[#6]-2(-[#7]-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2)-[#7]-[#6]-[#6]-3	Q131287242
Cymosidane	CCC1COCC2C1CC3NCCC4C5=C(NC234)C=CC=C5	[#6]-[#6]-[#6]1-[#6]-[#8]-[#6]-[#6]2-[#6]-1-[#6]-[#6]1-[#7]-[#6]-[#6]-[#6]3-[#6]4:[#6](-[#7]-[#6]-2-1-3):[#6]:[#6]:[#6]:[#6]:4	Q131287243
